x,y,G_Cost,H_Cost,P_Cost,fCost,GridX,GridY,,,
-35.25,19.75,-2147483629,640,0,-2147482989,71,33,,,
-35.25,20,-2147483619,630,0,-2147482989,71,34,,,
-35.25,20.25,-2147483609,620,0,-2147482989,71,35,,,
-35.25,20.5,-2147483599,610,0,-2147482989,71,36,,,Implementing P cost first try
-35.25,20.75,-2147483589,600,0,-2147482989,71,37,,,
-35.25,21,-2147483579,590,0,-2147482989,71,38,,,
-35.25,21.25,-2147483569,580,0,-2147482989,71,39,,,
-35.25,21.5,-2147483559,570,0,-2147482989,71,40,,,
-35.25,21.75,-2147483549,560,0,-2147482989,71,41,,,
-35.25,22,-2147483539,550,0,-2147482989,71,42,,,
-35.25,22.25,-2147483529,540,0,-2147482989,71,43,,,
-35.25,22.5,-2147483519,530,0,-2147482989,71,44,,,
-35.25,22.75,-2147483509,520,0,-2147482989,71,45,,,
-35.25,23,-2147483499,510,0,-2147482989,71,46,,,
-35.25,23.25,-2147483489,500,0,-2147482989,71,47,,,
-35.25,23.5,-2147483479,490,0,-2147482989,71,48,,,
-35.25,23.75,-2147483469,480,0,-2147482989,71,49,,,
-35.25,24,-2147483459,470,0,-2147482989,71,50,,,
-35.25,24.25,-2147483449,460,0,-2147482989,71,51,,,
-35.25,24.5,-2147483439,450,0,-2147482989,71,52,,,
-35.25,24.75,-2147483429,440,0,-2147482989,71,53,,,
-35.25,25,-2147483419,430,0,-2147482989,71,54,,,
-35.25,25.25,-2147483409,420,0,-2147482989,71,55,,,
-35.25,25.5,-2147483399,410,0,-2147482989,71,56,,,
-35.25,25.75,-2147483389,400,0,-2147482989,71,57,,,
-35.25,26,-2147483379,390,0,-2147482989,71,58,,,
-35.25,26.25,-2147483369,380,0,-2147482989,71,59,,,
-35.25,26.5,-2147483359,370,0,-2147482989,71,60,,,
-35.25,26.75,-2147483349,360,0,-2147482989,71,61,,,
-35.25,27,-2147483339,350,0,-2147482989,71,62,,,
-35.25,27.25,-2147483329,340,0,-2147482989,71,63,,,
-35.25,27.5,-2147483319,330,0,-2147482989,71,64,,,
-35.25,27.75,-2147483309,320,0,-2147482989,71,65,,,
-35.25,28,-2147483299,310,0,-2147482989,71,66,,,
-35.25,28.25,-2147483289,300,0,-2147482989,71,67,,,
-35.25,28.5,-2147483279,290,0,-2147482989,71,68,,,
-35.25,28.75,-2147483269,280,0,-2147482989,71,69,,,
-35.25,29,-2147483259,270,0,-2147482989,71,70,,,
-35.25,29.25,-2147483249,260,0,-2147482989,71,71,,,
-35.25,29.5,-2147483239,250,0,-2147482989,71,72,,,
-35.25,29.75,-2147483229,240,0,-2147482989,71,73,,,
-35.25,30,-2147483219,230,0,-2147482989,71,74,,,
-35.25,30.25,-2147483209,220,0,-2147482989,71,75,,,
-35.25,30.5,-2147483199,210,0,-2147482989,71,76,,,
-35.25,30.75,-2147483189,200,0,-2147482989,71,77,,,
-35.25,31,-2147483179,190,0,-2147482989,71,78,,,
-35.25,31.25,-2147483169,180,0,-2147482989,71,79,,,
-35.5,31.25,-2147483139,170,0,-2147482969,70,79,,,
-35.75,31.25,-2147483129,160,0,-2147482969,69,79,,,
-36,31.25,-2147483119,150,0,-2147482969,68,79,,,
-36.25,31.25,-2147483109,140,0,-2147482969,67,79,,,
-36.5,31.25,-2147483099,130,0,-2147482969,66,79,,,
-36.75,31.25,-2147483089,120,0,-2147482969,65,79,,,
-37,31.25,-2147483079,110,0,-2147482969,64,79,,,
-37.25,31.25,-2147483069,100,0,-2147482969,63,79,,,
-37.5,31.25,-2147483059,90,0,-2147482969,62,79,,,
-37.75,31.25,-2147483049,80,0,-2147482969,61,79,,,
-38,31.25,-2147483039,70,0,-2147482969,60,79,,,
-38.25,31.25,-2147483029,60,0,-2147482969,59,79,,,
-38.5,31.25,-2147483019,50,0,-2147482969,58,79,,,
-38.75,31.25,-2147483009,40,0,-2147482969,57,79,,,
-39,31.25,-2147482999,30,0,-2147482969,56,79,,,
-39.25,31.25,-2147482989,20,0,-2147482969,55,79,,,
-39.5,31.25,-2147482979,10,0,-2147482969,54,79,,,
-39.75,31.25,-2147482969,0,0,-2147482969,53,79,,,
